Isolate,BioSample,Assembly,amoxicillin-clavulanic acid,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,gentamicin,levofloxacin,piperacillin-tazobactam,tetracycline,tobramycin,trimethoprim-sulfamethoxazole
PDT001830488.1,SAMN36726437,GCA_032337875.1,S,S,S,S,R,R,R,R,S,S,R,S
PDT001830489.1,SAMN36726436,GCA_032337655.1,S,S,S,S,R,S,S,I,S,S,S,S
PDT001830492.1,SAMN36726399,GCA_032337635.1,I,R,S,R,R,R,S,R,S,R,S,R
PDT001830497.1,SAMN36726624,GCA_032337535.1,S,S,I,R,R,R,S,R,S,R,S,S
PDT001830498.1,SAMN36726701,GCA_032337575.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830501.1,SAMN36726698,GCA_032337095.1,S,S,S,S,R,S,S,I,S,R,S,R
PDT001830502.1,SAMN36726697,GCA_032337055.1,I,R,S,R,R,I,S,I,S,R,S,R
PDT001830503.1,SAMN36726696,GCA_032337015.1,S,S,S,S,R,S,S,I,S,S,S,R
PDT001830504.1,SAMN36726695,GCA_032336995.1,R,S,S,S,R,R,S,R,R,S,S,R
PDT001830505.1,SAMN36726623,GCA_032336975.1,R,S,R,R,R,R,S,R,S,R,S,R
PDT001830506.1,SAMN36726694,GCA_032336905.1,R,S,R,R,R,R,S,R,S,S,S,S
PDT001830507.1,SAMN36726693,GCA_032336875.1,S,S,S,R,R,I,S,I,S,S,S,R
PDT001830509.1,SAMN36726691,GCA_032336795.1,S,S,I,R,R,R,S,R,S,R,S,R
PDT001830510.1,SAMN36726690,GCA_032336775.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001830512.1,SAMN36726688,GCA_032336715.1,S,S,S,S,R,I,R,I,S,R,I,R
PDT001830513.1,SAMN36726687,GCA_032336695.1,R,S,R,R,R,S,S,S,S,R,S,S
PDT001830517.1,SAMN36726683,GCA_032336615.1,R,S,R,R,R,S,S,S,R,S,S,S
PDT001830518.1,SAMN36726682,GCA_032336515.1,S,S,S,S,R,R,R,R,S,R,I,S
PDT001830521.1,SAMN36726679,GCA_032336425.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830525.1,SAMN36726675,GCA_032336395.1,R,S,R,S,R,S,S,S,S,S,S,S
PDT001830526.1,SAMN36726621,GCA_032336355.1,S,S,I,S,S,S,S,S,S,R,S,S
PDT001830528.1,SAMN36726647,GCA_032336315.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830530.1,SAMN36726645,GCA_032336275.1,S,S,S,R,R,S,S,I,S,R,S,R
PDT001830531.1,SAMN36726618,GCA_032336245.1,S,S,S,S,R,S,S,S,S,R,S,S
PDT001830533.1,SAMN36726643,GCA_032336225.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830534.1,SAMN36726642,GCA_032336195.1,R,S,R,R,R,S,S,S,S,R,S,S
PDT001830536.1,SAMN36726638,GCA_032336075.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830541.1,SAMN36726633,GCA_032335875.1,R,R,I,R,R,R,S,R,R,R,R,R
PDT001830550.1,SAMN36726616,GCA_032335895.1,S,S,S,R,R,R,S,R,S,R,S,S
PDT001830551.1,SAMN36726615,GCA_032335495.1,I,S,S,S,S,S,S,S,S,S,S,S
PDT001830552.1,SAMN36726674,GCA_032335475.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001830557.1,SAMN36726669,GCA_032335335.1,S,S,S,R,R,S,S,S,S,R,S,S
PDT001830558.1,SAMN36726667,GCA_032335275.1,S,S,S,S,R,I,S,I,S,S,S,R
PDT001830561.1,SAMN36726620,GCA_032335175.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830564.1,SAMN36726662,GCA_032335355.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830569.1,SAMN36726657,GCA_032335115.1,I,S,S,S,R,R,R,R,S,S,I,R
PDT001830570.1,SAMN36726655,GCA_032334975.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001830577.1,SAMN36726649,GCA_032334935.1,S,S,S,R,R,R,S,R,S,S,S,R
PDT001830619.1,SAMN36727272,GCA_032334195.1,I,S,R,R,R,R,S,R,S,R,R,R
PDT001830620.1,SAMN36727325,GCA_032334215.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830621.1,SAMN36727324,GCA_032334075.1,R,S,R,S,R,S,S,I,R,R,S,R
PDT001830626.1,SAMN36727319,GCA_032334015.1,I,R,R,R,R,R,S,I,R,S,S,S
PDT001830628.1,SAMN36727317,GCA_032334035.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830631.1,SAMN36727315,GCA_032333975.1,R,S,R,R,R,R,R,R,R,R,R,S
PDT001830632.1,SAMN36727314,GCA_032333955.1,S,R,S,R,R,R,S,R,S,R,S,R
PDT001830634.1,SAMN36727312,GCA_032333915.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830639.1,SAMN36727307,GCA_032333895.1,S,R,S,S,R,S,S,S,S,S,S,S
PDT001830641.1,SAMN36727270,GCA_032333855.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830643.1,SAMN36727304,GCA_032333815.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830644.1,SAMN36727303,GCA_032333835.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001830647.1,SAMN36727340,GCA_032333795.1,R,R,S,R,R,R,S,R,R,S,R,R
PDT001830651.1,SAMN36727336,GCA_032333735.1,S,S,S,R,R,I,S,I,S,S,S,R
PDT001830653.1,SAMN36727335,GCA_032333715.1,S,S,S,I,R,I,S,I,S,R,S,R
PDT001830658.1,SAMN36727330,GCA_032333615.1,I,S,I,S,R,R,R,R,S,R,I,R
PDT001830659.1,SAMN36727329,GCA_032333635.1,I,S,R,R,R,R,S,R,S,R,R,R
PDT001830661.1,SAMN36727302,GCA_032333555.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830662.1,SAMN36727301,GCA_032333575.1,S,S,S,S,R,S,S,S,S,R,S,S
PDT001830664.1,SAMN36727299,GCA_032333495.1,S,S,S,S,R,S,S,S,S,R,S,R
PDT001830665.1,SAMN36727298,GCA_032333515.1,I,R,R,R,R,R,R,R,S,R,R,R
PDT001830669.1,SAMN36727295,GCA_032333535.1,I,S,S,S,R,R,R,I,S,R,R,R
PDT001830670.2,SAMN36727294,GCA_033200635.1,I,S,R,S,R,R,R,R,S,R,R,S
PDT001830671.1,SAMN36727293,GCA_032333455.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830672.1,SAMN36727292,GCA_032333415.1,S,S,S,R,R,R,S,R,S,R,S,S
PDT001830674.1,SAMN36727290,GCA_032333375.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830675.1,SAMN36727289,GCA_032333395.1,S,S,S,I,R,R,S,I,S,R,S,S
PDT001830677.1,SAMN36727287,GCA_032333355.1,S,S,S,S,R,S,S,I,S,R,S,R
PDT001830678.1,SAMN36727286,GCA_032333335.1,S,S,I,R,R,S,S,S,S,R,S,R
