SMILES,pka_value,FractionCSP3,EState_VSA10,MinAbsPartialCharge,HallKierAlpha,MaxEStateIndex,SMR_VSA10,VSA_EState2,VSA_EState8,fr_nitro,fr_nitro_arom,SMR_VSA6,PEOE_VSA2,SMR_VSA5,BCUT2D_LOGPLOW,PEOE_VSA13,NumHeteroatoms,SMR_VSA7,SMR_VSA1,SlogP_VSA10,BCUT2D_CHGLO,BertzCT,BCUT2D_MRHI,SPS,fr_ketone,fr_ketone_Topliss,SlogP_VSA5,fr_benzene,VSA_EState7,TPSA,NumAromaticRings,EState_VSA6,EState_VSA1,NOCount,fr_C_O,fr_nitro_arom_nonortho,MinEStateIndex,VSA_EState3,EState_VSA8
Cc1ccccc1CN,9.19,0.25,0.0,0.0180249078899848,-0.8200000000000001,5.450648148148148,0.0,0.0,2.717129629629629,0,0,0.0,0.0,13.4684936056032,-1.9707306381310283,0.0,1,35.392371257240434,0.0,0.0,-1.980432050622051,193.51405299160075,5.243277050356502,9.555555555555555,0,0,11.126902983393991,1,0.0,26.02,1,0.0,0.0,1,0,0,0.6455092592592593,0.0,19.056471336613843
Cc1ccccc1N,4.426333333333334,0.1428571428571428,0.0,0.0343208796951809,-0.98,5.519814814814815,5.687386274683562,0.0,1.9953703703703705,0,0,5.733667477162185,0.0,6.923737199690624,-1.8546172015512088,0.0,1,29.82891976554344,0.0,5.687386274683562,-1.933042260348305,160.49662946459569,5.444284158124228,9.125,0,0,5.563451491696996,1,0.0,26.02,1,0.0,0.0,1,0,0,0.8680555555555558,0.0,0.0
Cc1ccccc1N(C)C,5.98,0.3333333333333333,0.0,0.0390211779255263,-0.98,2.1203703703703702,5.687386274683562,2.1203703703703702,2.1203703703703702,0,0,18.99525369620486,0.0,6.923737199690624,-2.0904041134089275,0.0,1,29.82891976554344,0.0,5.687386274683562,-2.138137726830945,215.72318047941275,5.50837924867902,9.5,0,0,5.563451491696996,1,0.0,3.24,1,0.0,0.0,1,0,0,1.2939814814814816,0.0,50.18445916974191
Cc1ccccc1N(C)N,5.29,0.25,0.0,0.0542511713852171,-1.02,5.5478703703703705,5.687386274683562,0.0,2.04037037037037,0,0,12.056584506631722,0.0,6.923737199690624,-2.250929963001157,0.0,2,29.82891976554344,0.0,5.687386274683562,-2.1328207562963457,218.2525054923936,5.5021169161313,9.5,0,0,5.563451491696996,1,0.0,29.26,1,5.008912523954532,0.0,2,0,0,1.0717592592592595,1.6203703703703702,0.0
Cc1ccccc1NC(C)(C)C,6.49,0.4545454545454545,0.0,0.0373363670536744,-0.98,3.4493981481481484,5.687386274683562,0.0,8.617453703703704,0,0,5.316788604006331,0.0,33.23387405114584,-2.2590143496696835,0.0,1,29.82891976554344,0.0,5.687386274683562,-2.228343719745391,257.9517769781975,5.511030395369539,11.333333333333334,0,0,26.334663090768867,1,0.0,12.03,1,0.0,0.0,1,0,0,0.1449537037037036,3.4493981481481484,57.27720567661525
Cc1ccccc1NC1CCCC1,5.07,0.5,0.0,0.0371517370565395,-0.98,3.6091203703703703,5.687386274683562,0.0,2.163972978080121,0,0,5.316788604006331,0.0,38.64886452054263,-2.144596949622321,0.0,1,29.82891976554344,0.0,5.687386274683562,-2.14624704643873,274.2078950935822,5.504663793783006,17.615384615384617,0,0,31.246737983401037,1,5.468020124716553,12.03,1,0.0,0.0,1,0,0,0.7232407407407406,3.6091203703703703,36.50599407754339
Cc1ccccc1NC1CCCCC1,5.34,0.5384615384615384,0.0,0.0371517370564018,-0.98,3.6491203703703703,5.687386274683562,0.0,2.171785478080121,0,0,5.316788604006331,0.0,45.06968614346864,-2.2202923030946216,0.0,1,29.82891976554344,0.0,5.687386274683562,-2.2418579541808112,287.0419665009148,5.504058595454166,18.071428571428573,0,0,37.667559606327046,1,6.890591380070546,12.03,1,0.0,0.0,1,0,0,0.7128240740740741,3.6491203703703703,36.50599407754339
Cc1ccccc1NC1CCc2ccccc21,0.83,0.25,0.0,0.0519332177424622,-1.7599999999999991,3.665324074074074,5.687386274683562,0.0,2.1559419879062736,0,0,5.316788604006331,0.0,25.807221274690605,-2.0736080275420905,0.0,1,65.22129102278387,0.0,5.687386274683562,-2.167498947795576,530.5533173882956,5.52923320087408,17.823529411764707,0,0,29.15301692716496,2,2.396232284580499,12.03,2,0.0,0.0,1,0,0,0.4789814814814814,3.665324074074074,60.77146235138983
Cc1ccccn1,5.954625,0.1666666666666666,0.0,0.0372146527339204,-0.8500000000000001,3.979166666666667,0.0,3.979166666666667,1.9722222222222223,0,0,0.0,4.9839785209472085,6.923737199690624,-1.7199880078000285,0.0,1,30.08987277184637,0.0,0.0,-1.8176715852800305,134.10736969541455,4.994177314720604,8.714285714285714,0,0,5.693927994848461,0,1.787037037037037,12.89,1,6.196843571613076,0.0,1,0,0,1.0717592592592595,0.0,4.9839785209472085
Cc1cccnc1,5.6366,0.1666666666666666,0.0,0.0296530038281348,-0.85,3.88425925925926,0.0,3.88425925925926,2.020833333333333,0,0,0.0,4.9839785209472085,6.923737199690624,-1.6896574570504663,0.0,1,30.08987277184637,0.0,0.0,-1.8165910408725825,134.10736969541455,5.039518347496001,8.714285714285714,0,0,5.563451491696996,0,3.6041666666666665,12.89,1,6.196843571613076,0.0,1,0,0,1.2106481481481484,0.0,4.9839785209472085
